No,tweet,Sentimen
936,Aku sebagai orang tua setuju sekolah dibuka kembali untuk tatap muka Belajar onlinepun juga ga bisa dampingi anak karena kerja mulai jam 8 30 pagi pulang jam 4 5 Si anak juga susah mencerna belajar online anak stress susah ngikutin pelajaran yang ga semua guru komunikatif,2
946,mana sekolah online ga ada yg msk di otakku,2
948,a @SoundOfYogi Tapi di sekolah juga belajar berteman belajar berinteraksi langsung Mungkin hal tersebut bisa dilakukan secara online tapi IMO output nya akan berbeda Bacaan jurnal untuk referensi,2
950,capek gasih woi sekolah online aku capek pelajaran gamasuk otak semuaa,2
951,pas online gini sebenernya malah anak sekolah lebih berat dr kuliah ga sih gue baru ktemu sepupu gue yg smp dia sekolah online dr jam 7 3 sore istirahatnya cuma 30 45 menit sama kua jam sekolah biasa sementara gue yg kuliah cuma kelas jam 10 1 terus rebahan,2
959,Sekolah Online di Rumah Jenuh,2
961,Sekolah Online Tak Bisa Dicerna Otak Anak,2
965,Karena kan belajar di rumah kurang efisien sekolah online tidak bisa dicerna di otak dia Kalau sama guru kan bisa fokus sambungnya,2
975,Kapan sekolah offline Gabut banget kalau sekolah online terus gak seru,2
977,Sekolah offline aja ga paham Apalagi online kek gini Makin goblok aku,2
978,Kemarin online di rumah jenuh lebih seneng di sekolah ini disuruh bapak disuruh belajar pakai masker cuci tangan,2
979,Sekolah online berasa joki nugas tiap hari ngalirr mulu tugasnya Dapet duit gak tapi malah makin ngerasa bego,2
982,a @WATANAHARUT0 setuju tp klo sekolah online gk dulu alias males anjir disuruh bikin video,2
985,a @orgillllllllllllllll sekolah online bikin boros muluuuuu kuota gue baru beli udh mau abis lagi,2
986,Anak tetanggaku sdh males belajar online sehingga ibunya memberikan pilihan mau sekolah atau tidak anaknya pun menjawab MALES,2
995,Kegiatan sekolah online yang sudah 1 tahun berjalan memang banyak tantangannya Kondisi fisik dan mental anak banyak yang mengalami penurunan Entah itu obesitas motoric skill anxiety disorder anti sosial dan kecanduan gadget,2
1002,fuck it sekolah online emg enak tapi gurunya males2an bikin soal sama2 aja tp gapernah dikasih tau nilai dan gapernah dibahas jawabannya enak ya gaji buta,2
1011,bosen sekolah online rasanya pengen tidur aja,2
1021,knp sie ribet bgt sekolah online,2
1039,Ntah kenapa anak2 jaman sekarang yang sekolah online cenderung jadi malas ya Karena tugasnya direkam jadinya sekali take doang Trus minta diedit Kalo sekolah tatap muka mana bisa,2
1062,Sekolah Online Engga deh ya Cukup aja deh Mending buat yang laen aja deh Nanti saja kalau ada rejeki lebih insyaallah jika Gusti Allah mengijinkan pingin kuliah beneran masuk kampus lagi aja Mencari ilmu sekolah itu ga pandang umur kan,2
1072,sekolah online bukan nambah ilmu malah nambah fandom nambah miskin juga,2
1105,Banyak banget si pro kontra sekolah mo offline Aku bisa pro karena aku juga sekarang daring jurusan aku ada mata kuliah praktikumnya praktikum online gwe mumet gais ditambah daring ini keknya hampir semua mata kuliah ada tugas setiap pertemuan Ada pretest dan postest juga,2
1107,Sekolah online bukannya paham materi sekolah Eh malah paham live hack ngerjain tugas,2
1116,sekolah lagi penat siak dari online class,2
1129,Kelamaan sekolah online,2
1131,Emang dikira pas sekolah online gini anak2 SD pada di rumah belajar gitu Kaga pada ngarak ondel2 itu anak bocil Kenapa Ya di rumah juga kaga sekolah online ortu kerja kaga ada kegiatan jadinya ngarak ondel2 jadi manusia silver,2
1156,selama sekolah online aku ga pede sama kemampuan diri sendiri wkwk,2
1175,setidaknya kelas 12 bolehin lah anjirr muk jadi apa gua muk ke univ apa gua kalo online gini gak semuanya bisa les int3n g0 hikds gua minta brain acad ru4angguru aja udah misuh2 insekyur woi pak anak luu sama temen2nya enak bisa belajar di luar sekolah yg pengajarannya jelas,2
1181,14 pengen sekolah offline dah cape online trus,2
1192,sekolah offline ditambah online bikin tugas makin banyak,2
1216,selama plp kmrn gue emg ngerasa sih sekolah online kyk gini jd bikin siswa seenaknya kalo diajak ngezoom gmeet blgnya cuma ada kuota chat pdhl sbnrnya mereka udh dapet kuota belajar trs kalo dikasih tugas juga yg ngumpulin tepat waktu cuma bbrp orang,2
1237,ih jujur gue selama sekolah online gapaham apa apa takutnya ntar pas masuk sekolah heha heho doang,2
1238,Kurang menantangnya sekolah online adalah tidak adanya kesurupan masal,2
1241,Sekolah online dengan regulasi yg amburadul Ditambah pergaulan bocil2 komplek penggemar FF Sering ngegas ke orangtua bebas akses internet tanpa pengawasan terlalu banyak menikmati konten tik tok Kekhawatiran semakin menjadi jadi Menurutku pola ini sangat tidak baik untuk,2
1242,ya gitu deh pendidikan di sini aku gak kebayang yg udah sekolah negri online pula,2
1245,punya dendam kesumat gw sama sekolah online,2
1246,sedih banget lepas johnny sama jungwoo tapi mau gimana lagi butuh buat keperluan sekolah benci banget sekolah online,2
1256,SEKOLAH ONLINE YA ALLAHHHHHHH MEREKA AJA KIRIM SURAT MASIH PAKE BURUNG,2
1262,Kalau sekolah tatap muka dianggap tidak efektif sekolah online LEBIH TIDAK EFEKTIF,2
1266,Sekolah online guru semakin seenaknya sendiri tugas brak bruk ga di kerjain auto nilai 0 Absen telat kena alfa materi dari YouTube semua maksudnya apa anjir Ga semua anak ngerti materinya seengaknya di kasih materi sedikit lah di GC nanti lanjut YouTube juga bisa Lah ini,2
1285,sekolah online gabisa kesurupan masak,2
1293,dari sekolah online kita tidak belajar,2
1301,sekolah online gini bawaannya overthinking mulu dah heran,2
1305,Jan bilang sekolah online bikin pusing ga masuk masuk kalo pas depan laptop kerja lu puter musik ngegame tidur doang Gimana masuk kalo otak lu ga fokus,2
1306,Semenjak sekolah online ga pernah ngerjain tes secara jujur,2
1308,asli dah sekolah online nilai makin jeblok makin goblok,2
1310,Kasian banget sih adeku ngerasain masa SMA gini amat Sekolah offline cuma 1 5 tahun 1 5 tahunnya lagi sekolah online Sekarang mau haflah Haflahnya juga online,2
1312,iya wkwk susah nya itu sekolah online,2
1313,sekolah online emang paling males,2
1314,sekolah online bikin aku makin stress karna makin banyak waktu luang tanpa ada temen pikiranku makin liar,2
1332,HERE sekolah online ga asik padahal kita semua sadar online school ga sepenuhnya mendukung pemerataan edukasi karena cuma yg punya fasilitas yg bisa belajar dengan efektif dan tetap bisa jaga pace mereka yg g ada susah bukan mustahil ya cont,2
1333,Bikin sekolah online bagi anak anak yg gak punya gadget Kan selama pandemi segala kegiatan belajar mengajar melalui zoom kan nah gak semua anak punya gadget kasian kalo harus minta ke orang tua Nanti konsep sekolahnya kaya warnet aja dibikin bilik bikik,2
1335,Sebenarnya yang bikin males sekolah online tuh tugas ngrangkum nyalin yang banyak poll Gak tanggung tanggung kalo tugas nyuruh nyalin,2
1336,subschfess sekolah online flop,2
1355,kenapaa aku maless sekali mengerjakan tugas dan tidak ada mood untuk mengerjakan tugas dan tidak mood untuk belajar online lagi dan pengen sekolah offline dan aku udah lelah dan terimakasih,2
1357,ya Allah semoga pada milih setuju udh capek banget sama sekolah online,2
1369,ini anak sma yang sekolah online kasihan bgt gabisa lihat pesona kaka kelas cantik wkwkwkw,2
1372,capek bgt sekolah online,2
1377,Hasil dari siswa yg sekolah online Mau jd apa coba generasi milenial ini Mereka bukan lg butuh proses mereka cuma butuh jawaban Terus guna sekolah apa Kalaupun terus akan sekolah online sih fine tapi kalau sudah offline bagaimana pasti terlihat kan betapa tdk mengertinya mereka,2
1379,SEBELUM CORONA GUE GK PERNAH OVERTHINKING SAMPE NANGIS TP SEMENJAK CORONA GUE SENSI BGT YA ALLAH PLIS KANGEN BGT SEKOLAH OFFLINE KETEMU TEMEN KEK TIAP HARI TUH ADA AJA KEJADIAN YG BIKIN MOOD NAIK GUE JENUH BGT ONLINE SCHOOL PLSZZ,2
1382,Banyak Orangtua yg masih anggap tugas pendidikan anak ada di sekolah padahal yg utama ada di orangtua Jadi nemenin anak sekolah online dianggap nambah beban karena tugas guru sebagian pindah ke orangtua perkara sarana laptop pulsa dll itu bisa diusahakan kok asal niat,2
1385,Gue jg salah satu org yang ngerasa capek bgt sekolah online tuh di situ2 melulu kadang ngerasa susah sendiri Juga salah satu orang yang fasilitas di rumahnya dulu terbatas dr gak punya wifi meja amp kursi belajar yg proper dll smp hrs upgrade bnyk hal demi pembelajaran ini,2
1387,gara2 skolah online jarang ke sekolah,2
1388,Fufu sekolah online memang boros kuota belum lagi Bocchama selalu tertidur ketika ekhem maafkan atas ketidakjelasan saya,2
1395,awali hari dengan sekolah online stress anj,2
1402,Beberapa sekolah di desa yg gk punya fasilitas sememadai itu dan jumlah murid lbh banyak mungkin terpaksa sekolah tatap muka karena lebih gk memungkinkan untuk muridnya terus sekolah online,2
1403,Egois sih kalau meminta sekolah online diundur hanya karena satu kondisi seperti usia ibu anda Gak semua anak dan sekolah siap sekolah online Apa kabar guru yang harus pergi ke rumah satu per satu muridnya karena gak ada fasilitas online,2
1406,Sekolah offline 10 jam its okay tp klo online 45 menit sj sdh resah bjir pen cpet kelar,2
1410,kenapa udah sekolah online gini masih aja ada lomba lomba ini lomba kartini disuruh buat video lagi kan males,2
1416,gua aja tau tanggal prediksinya dr twt ebook catatan dari twt bener2 ga terlalu diperhatiin ama sekolah taunya sejak online emg sistemnya bobrok,2
1417,sekolah online jadi gapunya duit,2
1418,Sampai kapan sekolah online terus Iyo anak anak jadi bodoh dan kurang pengalaman,2
1428,Online class isn t any better buat anak2 kampung yang sekolah di negeri dan gurunya cuma modal WhatsApp buat ngasih tugas doang selama setahun terakhir Sejauh ini kerasa banget kalo sekolah tuh bukan cuma buat dapet materi doang,2
1432,a @trendingtopiq Enaknya sekolah offline dapet ongkos jalan @patopiq Sekolah online mana bisa,2
1433,Wuidih perdebatan tentang sekolah online dan offline semakin memanas Saudara saudara Untuk ortu no comment saya lebih suka membahas pemerintah Pemerintah sebagai pemangku kebijakan harus sudah siap dengan INFRASTRUKTUR sekolah offline di era pandemi,2
1436,a @soiletitgo sadar ga sadar tapi gue udah mulai stress mengarah kesana pas sekolah online sekarang ini,2
1440,Kenapa sekolah ku tidak tolong yayasan angkasa saya mau tatap muka saya eneg ngajar online muluk,2
1442,sempet sekolah online hampir tiap malem sampe pagi gaatidur sii,2
1449,Mari kita menabung tapi gua kagak ada pemasukan gara masih sekolah online Nabung apaan,2
1451,Sama banget nder kalau aku doyan nya rebahan karena ke goda liat kasur jd biasanya kelas online tuh sambil rebahan jd ga fokus trs megang hp juga kan ya itu jd kemana mana buka sosmed lah atau game lah bikin ga fokus deh pengen cepet cepet sekolah offline biar fokus,2
1454,Sekolah online banyak mudorotnya,2
1458,Wkwk bukti nyata thread sebelah kalo sekolah online ga begitu efektif khususnya buat anak kecil,2
1459,rasis dimananya sih konyol gausah dah marah marah sama user tiktok soalnya bocah yang otaknya 404 not found kelamaan sekolah online,2
1460,udah jago utbk sejak kelas 10 wkwkwkwkwkkw kalo yg sd sekolah online aja ribut apalagi les online,2
1463,iya sekolah online flop,2
1464,Agak kesel karena kesannya dia ga peduli sama mereka yg punya latar belakang ga mendukung e g keluarga ekonomi Dan seperti yg lo bilang sekolah online meningkatkan potensi kecurangan meanwhile guru2 ga begitu peduli sama hal itu,2
1470,gara gara sekolah online mataku jadi sering sakit dan gampang pegel,2
1473,semangat chal derita sekolah online HAHAHAHA,2
1474,banyak ekstrakulikuler yang gajalan karna sekolah online anyway lu kira sekolah cuman teori eksplor terus ujian apa ada yang namanya praktik lu pikir praktik kimia cukup disokong internet sama duit doang kagak ya,2
1475,Ambil master kah inii Aku ga kebayang bisa kuliah sekolah online Tiap ada zoom meeting aja aku cpt ngantuk Moga2 akhir taun ini semua udah membaik yaa,2
1484,Iya klo yg tk b kasihan pas mau calistung Belajar baca juga susah Mama2nya yg stress jadi kribo mbak dirumah Saya paham soalnya teman saya ada yg bgtu Sekolah online itu kasihan matanya aja,2
1488,kangen sekolah semoga kenaikan nanti udah ngga online please banget,2
1490,justru yg sekolah online ini yg paling berat yah kelas TK Krna kan banyak prakarya,2
1499,Gua ga merasa terlalu miskin fasilitas buat sekolah online memadai tp ya enakan offline karena pas belajar ga ada yg tiba tiba nyuruh pekerjaan rmh si wkwkwkwk kyk ga ada mode on off nya mesti fokus kemana,2
1500,sebagai pelajar gue sendiri ga setuju online kaya gini pelajaran kaga ada yang masuk guru juga jd lebih males cuma ngasih tugas materi pun banyak yg ngambil dari yt bahkan ada yg ga ngasih samsek sosialisasi sm orang lain jg jadi minim bgt pas sekolah ada event,2
1504,Krna dia uda gk mau menghafal lagii sudah malas buat belajar Jadi maunya instant Tinggal tanya Ini hasil sekolah online Indo blm siap dengan sekolah online,2
1507,efek samping sekolah online mata minus dan merah sakit punggung kaki keram,2
1517,waktu masih sekolah offline biasanya pagi pagi udah ngobrol di kelas sambil sarapan nasi goreng ibu kantin ini pas sekolah online boro boro ngobrol sama temen mic aja dimute terus kamera kadang off hadee rindu,2
1523,pengen gap year terus kursus bahasa setahun full tapi takut jadi beban emak gue kesian tapi gue juga gak mau kuliah online gue udah cukup dengan sekolah online,2
1528,Serba dilema Siswa di sekolah ibuku berbodong2 ngundurin diri krn kita bertahan belajar online Fyi di Kabupaten ga semudah itu orang tua bisa ngerti zoom banyak org tua yg ga sanggup ngajarin dr rumah perjuangan banget,2
1530,Ini kejadian sih kan sebentar lagi penerimaan siswa baru Ada calon siswa yang ortunya ga mau kalau sekolah online Karena keterbatasan hp yg canggih nggak semua anak punya fasilitas yang sama,2
1532,Gak semua lini pendidikan bisa dibuat online pasti ada saat dimana praktek & tatap muka harus dilaksanakan secara langsung apalagi yg bersekolah di sekolah kejuruan Fasilitas online bagus tapi memaksakan pendidikan online bukan cara yg baik,2
1533,akan sangat menyengsarakan masyarakat kalangan bawah kalau pendidikan formal full online meskipun sekarang pendidikan terlalu mendewakan sekolah dan menafikan pendidikan informal keluarga yg notabennya orang tua adalah penggerak pendidikan pertama,2
1537,sekolah online ga tambah pinter malah tambah fandom alah sia dude,2
1539,Sekolah online muluk kasian adekkuuuu,2
1540,Ini gegara sekolah online jadi ga keliatan,2
1541,ini sekolah online jadi tiap hari ga dapet uang jajan,2
1554,Pakar pendidikan luar negeri juga menyarankan buka sekolah dan perbanyak vaksinasi serta pengetatan prokes kesehatan Makanya gua diamin aja jika masih ada org yg nyaranin tutup sekolah dan selalu online,2
1556,Pasti Yg ngomong sekolah jangan di buka itu ga tau bahwa kualitas anak sekolahan sudah banyak yg menurun akibat belajar online,2
1560,dibanding full online gue lebih seneng sistem hybrid yang diterapkan lo tetep dapet suasana kelas makanya ini make sense sekolah ttp dibuka plus penguatan jaringan,2
